Indice;Algoritmo;D;Tamanho;Tipo;Tempo_ms;Memoria_B
1;D-Heap-Max;2;100;ordenado;0.0358;624
2;D-Heap-Max;2;100;ordenado;0.0327;624
3;D-Heap-Max;2;100;ordenado;0.0288;624
4;D-Heap-Max;2;100;ordenado;0.028599;624
5;D-Heap-Max;2;100;ordenado;0.0275;624
6;D-Heap-Max;2;100;ordenado;0.0234;624
7;D-Heap-Max;2;100;ordenado;0.0233;624
8;D-Heap-Max;2;100;ordenado;0.0232;624
9;D-Heap-Max;2;100;ordenado;0.0228;624
10;D-Heap-Max;2;100;ordenado;0.0229;624
11;D-Heap-Max;2;100;ordenado;0.0276;624
12;D-Heap-Max;2;100;ordenado;0.034999;624
13;D-Heap-Max;2;100;ordenado;0.0373;624
14;D-Heap-Max;2;100;ordenado;0.0294;624
15;D-Heap-Max;2;100;ordenado;0.0311;624
16;D-Heap-Max;2;100;ordenado;0.028;624
17;D-Heap-Max;2;100;ordenado;0.0353;624
18;D-Heap-Max;2;100;ordenado;0.0326;624
19;D-Heap-Max;2;100;ordenado;0.028799;624
20;D-Heap-Max;2;100;ordenado;0.0343;624
1;D-Heap-Max;3;100;ordenado;0.0334;560
2;D-Heap-Max;3;100;ordenado;0.0305;560
3;D-Heap-Max;3;100;ordenado;0.0231;560
4;D-Heap-Max;3;100;ordenado;0.0204;560
5;D-Heap-Max;3;100;ordenado;0.0261;560
6;D-Heap-Max;3;100;ordenado;0.031999;560
7;D-Heap-Max;3;100;ordenado;0.0312;560
8;D-Heap-Max;3;100;ordenado;0.0322;560
9;D-Heap-Max;3;100;ordenado;0.03;560
10;D-Heap-Max;3;100;ordenado;0.0302;560
11;D-Heap-Max;3;100;ordenado;0.0316;560
12;D-Heap-Max;3;100;ordenado;0.032;560
13;D-Heap-Max;3;100;ordenado;0.0295;560
14;D-Heap-Max;3;100;ordenado;0.0291;560
15;D-Heap-Max;3;100;ordenado;0.0282;560
16;D-Heap-Max;3;100;ordenado;0.0312;560
17;D-Heap-Max;3;100;ordenado;0.0584;560
18;D-Heap-Max;3;100;ordenado;0.0236;560
19;D-Heap-Max;3;100;ordenado;0.030899;560
20;D-Heap-Max;3;100;ordenado;0.0311;560
1;D-Heap-Max;4;100;ordenado;0.0274;528
2;D-Heap-Max;4;100;ordenado;0.0309;528
3;D-Heap-Max;4;100;ordenado;0.0271;528
4;D-Heap-Max;4;100;ordenado;0.0286;528
5;D-Heap-Max;4;100;ordenado;0.024;528
6;D-Heap-Max;4;100;ordenado;0.027399;528
7;D-Heap-Max;4;100;ordenado;0.0258;528
8;D-Heap-Max;4;100;ordenado;0.0276;528
9;D-Heap-Max;4;100;ordenado;0.0294;528
10;D-Heap-Max;4;100;ordenado;0.0342;528
11;D-Heap-Max;4;100;ordenado;0.0341;528
12;D-Heap-Max;4;100;ordenado;0.0316;528
13;D-Heap-Max;4;100;ordenado;0.025299;528
14;D-Heap-Max;4;100;ordenado;0.0194;528
15;D-Heap-Max;4;100;ordenado;0.0193;528
16;D-Heap-Max;4;100;ordenado;0.0194;528
17;D-Heap-Max;4;100;ordenado;0.019;528
18;D-Heap-Max;4;100;ordenado;0.0192;528
19;D-Heap-Max;4;100;ordenado;0.0192;528
20;D-Heap-Max;4;100;ordenado;0.0193;528
1;D-Heap-Max;8;100;ordenado;0.0235;496
2;D-Heap-Max;8;100;ordenado;0.0226;496
3;D-Heap-Max;8;100;ordenado;0.0221;496
4;D-Heap-Max;8;100;ordenado;0.022099;496
5;D-Heap-Max;8;100;ordenado;0.0214;496
6;D-Heap-Max;8;100;ordenado;0.0219;496
7;D-Heap-Max;8;100;ordenado;0.0217;496
8;D-Heap-Max;8;100;ordenado;0.0219;496
9;D-Heap-Max;8;100;ordenado;0.0218;496
10;D-Heap-Max;8;100;ordenado;0.0212;496
