Algoritmo;D;Tamanho;Tipo;TempoMedio_ms;MemoriaMedia_B
D-Heap-Max;2;100;ordenado;0.0294198;624
D-Heap-Max;3;100;ordenado;0.0307349;560
D-Heap-Max;4;100;ordenado;0.0254099;528
D-Heap-Max;8;100;ordenado;0.0249999;496
D-Heap-Min;2;100;ordenado;0.0196199;624
D-Heap-Min;3;100;ordenado;0.0221949;560
D-Heap-Min;4;100;ordenado;0.0184499;528
D-Heap-Min;8;100;ordenado;0.018955;496
SmoothSort;-;100;ordenado;0.00472;400
D-Heap-Max;2;100;invertido;0.0230249;624
D-Heap-Max;3;100;invertido;0.0215599;560
D-Heap-Max;4;100;invertido;0.0161799;528
D-Heap-Max;8;100;invertido;0.0180749;496
D-Heap-Min;2;100;invertido;0.0255148;624
D-Heap-Min;3;100;invertido;0.0232899;560
D-Heap-Min;4;100;invertido;0.0197399;528
D-Heap-Min;8;100;invertido;0.0213249;496
SmoothSort;-;100;invertido;0.0255349;400
D-Heap-Max;2;100;aleatorio;0.0373299;624
D-Heap-Max;3;100;aleatorio;0.0354099;560
D-Heap-Max;4;100;aleatorio;0.0243899;528
D-Heap-Max;8;100;aleatorio;0.0300549;496
D-Heap-Min;2;100;aleatorio;0.0306549;624
D-Heap-Min;3;100;aleatorio;0.0237849;560
D-Heap-Min;4;100;aleatorio;0.0253649;528
D-Heap-Min;8;100;aleatorio;0.0290598;496
SmoothSort;-;100;aleatorio;0.0270099;400
D-Heap-Max;2;1000;ordenado;0.464723;4320
D-Heap-Max;3;1000;ordenado;0.351429;4224
D-Heap-Max;4;1000;ordenado;0.423363;4160
D-Heap-Max;8;1000;ordenado;0.335579;4128
D-Heap-Min;2;1000;ordenado;0.338064;4320
D-Heap-Min;3;1000;ordenado;0.347184;4224
D-Heap-Min;4;1000;ordenado;0.269749;4160
D-Heap-Min;8;1000;ordenado;0.281244;4128
SmoothSort;-;1000;ordenado;0.0447898;4000
D-Heap-Max;2;1000;invertido;0.309464;4320
D-Heap-Max;3;1000;invertido;0.273234;4224
D-Heap-Max;4;1000;invertido;0.257494;4160
D-Heap-Max;8;1000;invertido;0.267874;4128
D-Heap-Min;2;1000;invertido;0.347754;4320
D-Heap-Min;3;1000;invertido;0.288494;4224
D-Heap-Min;4;1000;invertido;0.282734;4160
D-Heap-Min;8;1000;invertido;0.360328;4128
SmoothSort;-;1000;invertido;0.479548;4000
D-Heap-Max;2;1000;aleatorio;0.368078;4320
D-Heap-Max;3;1000;aleatorio;0.300954;4224
D-Heap-Max;4;1000;aleatorio;0.305614;4160
D-Heap-Max;8;1000;aleatorio;0.393353;4128
D-Heap-Min;2;1000;aleatorio;0.516533;4320
D-Heap-Min;3;1000;aleatorio;0.743742;4224
D-Heap-Min;4;1000;aleatorio;0.309444;4160
D-Heap-Min;8;1000;aleatorio;0.337989;4128
SmoothSort;-;1000;aleatorio;0.474613;4000
D-Heap-Max;2;10000;ordenado;4.72379;40448
D-Heap-Max;3;10000;ordenado;3.62238;40288
D-Heap-Max;4;10000;ordenado;3.61783;40224
D-Heap-Max;8;10000;ordenado;4.00962;40160
D-Heap-Min;2;10000;ordenado;4.26816;40448
D-Heap-Min;3;10000;ordenado;6.25772;40288
D-Heap-Min;4;10000;ordenado;3.67444;40224
D-Heap-Min;8;10000;ordenado;3.53729;40160
SmoothSort;-;10000;ordenado;0.450088;40000
D-Heap-Max;2;10000;invertido;4.22554;40448
D-Heap-Max;3;10000;invertido;4.56879;40288
D-Heap-Max;4;10000;invertido;3.41843;40224
D-Heap-Max;8;10000;invertido;4.2681;40160
D-Heap-Min;2;10000;invertido;5.60545;40448
D-Heap-Min;3;10000;invertido;3.97945;40288
D-Heap-Min;4;10000;invertido;3.82003;40224
D-Heap-Min;8;10000;invertido;4.14186;40160
SmoothSort;-;10000;invertido;8.13722;40000
D-Heap-Max;2;10000;aleatorio;4.88551;40448
D-Heap-Max;3;10000;aleatorio;3.99147;40288
D-Heap-Max;4;10000;aleatorio;3.8867;40224
D-Heap-Max;8;10000;aleatorio;4.52147;40160
D-Heap-Min;2;10000;aleatorio;6.46452;40448
D-Heap-Min;3;10000;aleatorio;4.55792;40288
D-Heap-Min;4;10000;aleatorio;4.07771;40224
D-Heap-Min;8;10000;aleatorio;4.84062;40160
SmoothSort;-;10000;aleatorio;7.16539;40000
D-Heap-Max;2;100000;ordenado;58.1743;400544
D-Heap-Max;3;100000;ordenado;46.6544;400352
D-Heap-Max;4;100000;ordenado;45.7258;400288
D-Heap-Max;8;100000;ordenado;49.2613;400192
D-Heap-Min;2;100000;ordenado;54.066;400544
D-Heap-Min;3;100000;ordenado;50.7114;400352
D-Heap-Min;4;100000;ordenado;44.6756;400288
