Indice;Algoritmo;Aridade_D;Tamanho;Tipo;Tempo_ms;Memoria_KB;Trocas
1;DHeapMax;2;100;aleatorio;1;40;596
2;DHeapMax;2;100;aleatorio;0;0;596
3;DHeapMax;2;100;aleatorio;0;0;596
4;DHeapMax;2;100;aleatorio;0;0;596
5;DHeapMax;2;100;aleatorio;0;0;596
6;DHeapMax;2;100;aleatorio;0;0;596
7;DHeapMax;2;100;aleatorio;0;0;596
8;DHeapMax;2;100;aleatorio;0;0;596
9;DHeapMax;2;100;aleatorio;0;40;596
10;DHeapMax;2;100;aleatorio;0;0;596
11;DHeapMax;2;100;aleatorio;0;0;596
12;DHeapMax;2;100;aleatorio;0;0;596
13;DHeapMax;2;100;aleatorio;0;0;596
14;DHeapMax;2;100;aleatorio;0;0;596
15;DHeapMax;2;100;aleatorio;0;0;596
16;DHeapMax;2;100;aleatorio;0;0;596
17;DHeapMax;2;100;aleatorio;0;0;596
18;DHeapMax;2;100;aleatorio;0;0;596
19;DHeapMax;2;100;aleatorio;0;0;596
20;DHeapMax;2;100;aleatorio;0;0;596
1;DHeapMax;3;100;aleatorio;0;0;422
2;DHeapMax;3;100;aleatorio;0;0;422
3;DHeapMax;3;100;aleatorio;0;0;422
4;DHeapMax;3;100;aleatorio;0;0;422
5;DHeapMax;3;100;aleatorio;0;0;422
6;DHeapMax;3;100;aleatorio;0;0;422
7;DHeapMax;3;100;aleatorio;0;0;422
8;DHeapMax;3;100;aleatorio;0;0;422
9;DHeapMax;3;100;aleatorio;0;0;422
10;DHeapMax;3;100;aleatorio;0;0;422
11;DHeapMax;3;100;aleatorio;0;0;422
12;DHeapMax;3;100;aleatorio;0;0;422
13;DHeapMax;3;100;aleatorio;0;0;422
14;DHeapMax;3;100;aleatorio;0;0;422
15;DHeapMax;3;100;aleatorio;0;0;422
16;DHeapMax;3;100;aleatorio;0;0;422
17;DHeapMax;3;100;aleatorio;0;0;422
18;DHeapMax;3;100;aleatorio;0;0;422
19;DHeapMax;3;100;aleatorio;0;0;422
20;DHeapMax;3;100;aleatorio;0;0;422
1;DHeapMax;4;100;aleatorio;0;0;366
2;DHeapMax;4;100;aleatorio;0;0;366
3;DHeapMax;4;100;aleatorio;0;0;366
4;DHeapMax;4;100;aleatorio;0;0;366
5;DHeapMax;4;100;aleatorio;0;0;366
6;DHeapMax;4;100;aleatorio;0;0;366
7;DHeapMax;4;100;aleatorio;0;0;366
8;DHeapMax;4;100;aleatorio;0;0;366
9;DHeapMax;4;100;aleatorio;0;0;366
10;DHeapMax;4;100;aleatorio;0;0;366
11;DHeapMax;4;100;aleatorio;0;0;366
