Algoritmo;Aridade_D;Tamanho;Ordem;TempoMedio_ms;MemoriaMedia_KB;MemoriaFixa_KB;TrocasMedias
DHeapMax;2;100;aleatorio;161.350000;4;400;596
DHeapMax;3;100;aleatorio;34.550000;0;400;422
DHeapMax;4;100;aleatorio;34.450000;0;400;366
DHeapMax;8;100;aleatorio;44.700000;0;400;284
DHeapMin;2;100;aleatorio;131.350000;2;400;576
DHeapMin;3;100;aleatorio;28.150000;0;400;412
DHeapMin;4;100;aleatorio;51.700000;0;400;360
DHeapMin;8;100;aleatorio;51.650000;0;400;290
SmoothSort;1;100;aleatorio;583.050000;2;400;660
DHeapMax;2;100;ordenado;24.100000;0;400;640
DHeapMax;3;100;ordenado;28.650000;0;400;464
DHeapMax;4;100;ordenado;29.400000;0;400;404
DHeapMax;8;100;ordenado;19.400000;0;400;320
DHeapMin;2;100;ordenado;22.400000;0;400;516
DHeapMin;3;100;ordenado;34.450000;0;400;382
DHeapMin;4;100;ordenado;25.250000;0;400;332
DHeapMin;8;100;ordenado;20.850000;0;400;248
SmoothSort;1;100;ordenado;36.000000;0;400;0
DHeapMax;2;100;invertido;16.050000;0;400;516
DHeapMax;3;100;invertido;18.050000;0;400;382
DHeapMax;4;100;invertido;18.650000;0;400;332
DHeapMax;8;100;invertido;12.950000;0;400;248
DHeapMin;2;100;invertido;20.900000;0;400;640
DHeapMin;3;100;invertido;11.450000;0;400;464
DHeapMin;4;100;invertido;13.650000;0;400;404
DHeapMin;8;100;invertido;15.550000;0;400;320
SmoothSort;1;100;invertido;58.000000;0;400;729
DHeapMax;2;1000;aleatorio;208.450000;0;4000;9099
DHeapMax;3;1000;aleatorio;191.050000;0;4000;6268
DHeapMax;4;1000;aleatorio;209.900000;0;4000;5257
DHeapMax;8;1000;aleatorio;235.300000;0;4000;3955
DHeapMin;2;1000;aleatorio;190.500000;0;4000;9112
DHeapMin;3;1000;aleatorio;188.950000;0;4000;6279
DHeapMin;4;1000;aleatorio;213.100000;0;4000;5275
DHeapMin;8;1000;aleatorio;194.600000;0;4000;3966
SmoothSort;1;1000;aleatorio;326.950000;0;4000;12043
DHeapMax;2;1000;ordenado;247.250000;0;4000;9708
DHeapMax;3;1000;ordenado;192.650000;0;4000;6770
DHeapMax;4;1000;ordenado;145.750000;0;4000;5728
DHeapMax;8;1000;ordenado;175.200000;0;4000;4396
DHeapMin;2;1000;ordenado;183.900000;0;4000;8316
DHeapMin;3;1000;ordenado;141.850000;0;4000;5956
DHeapMin;4;1000;ordenado;143.450000;0;4000;5040
DHeapMin;8;1000;ordenado;108.500000;0;4000;3570
SmoothSort;1;1000;ordenado;128.250000;0;4000;0
DHeapMax;2;1000;invertido;150.700000;0;4000;8316
DHeapMax;3;1000;invertido;120.950000;0;4000;5956
DHeapMax;4;1000;invertido;114.450000;0;4000;5040
DHeapMax;8;1000;invertido;121.350000;0;4000;3570
DHeapMin;2;1000;invertido;152.400000;0;4000;9708
DHeapMin;3;1000;invertido;111.200000;0;4000;6770
DHeapMin;4;1000;invertido;132.200000;0;4000;5728
DHeapMin;8;1000;invertido;143.650000;0;4000;4396
SmoothSort;1;1000;invertido;294.400000;0;4000;11154
DHeapMax;2;10000;aleatorio;2445.450000;0;40000;124165
DHeapMax;3;10000;aleatorio;1801.200000;0;40000;83621
DHeapMax;4;10000;aleatorio;1767.250000;0;40000;69221
DHeapMax;8;10000;aleatorio;2189.550000;0;40000;50588
DHeapMin;2;10000;aleatorio;1886.650000;0;40000;124254
DHeapMin;3;10000;aleatorio;1676.150000;0;40000;83512
DHeapMin;4;10000;aleatorio;1813.400000;0;40000;69356
DHeapMin;8;10000;aleatorio;1866.100000;0;40000;50694
SmoothSort;1;10000;aleatorio;1532.650000;0;40000;167207
DHeapMax;2;10000;ordenado;1669.000000;0;40000;131956
DHeapMax;3;10000;ordenado;1370.850000;0;40000;88690
DHeapMax;4;10000;ordenado;1336.000000;0;40000;75132
DHeapMax;8;10000;ordenado;1675.950000;0;40000;55380
DHeapMin;2;10000;ordenado;1606.500000;0;40000;116696
DHeapMin;3;10000;ordenado;1159.250000;0;40000;80368
DHeapMin;4;10000;ordenado;1217.050000;0;40000;65820
DHeapMin;8;10000;ordenado;1358.150000;0;40000;46956
SmoothSort;1;10000;ordenado;118.600000;0;40000;0
DHeapMax;2;10000;invertido;1609.250000;0;40000;116696
DHeapMax;3;10000;invertido;1720.150000;0;40000;80368
