# output: dados brutos de cada execucao, cada algoritmo e rodado 5 vezes
Indice;Algoritmo;D;Tipo;Tempo_ms;Memoria_B
1;D-Heap-Max;2;ordenado;691.51;4000640
2;D-Heap-Max;2;ordenado;767.652;4000640
3;D-Heap-Max;2;ordenado;924.849;4000640
4;D-Heap-Max;2;ordenado;796.289;4000640
5;D-Heap-Max;2;ordenado;721.417;4000640
1;D-Heap-Max;3;ordenado;584.61;4000416
2;D-Heap-Max;3;ordenado;558.367;4000416
3;D-Heap-Max;3;ordenado;600.146;4000416
4;D-Heap-Max;3;ordenado;725.652;4000416
5;D-Heap-Max;3;ordenado;591.152;4000416
1;D-Heap-Max;4;ordenado;668.978;4000320
2;D-Heap-Max;4;ordenado;551.826;4000320
3;D-Heap-Max;4;ordenado;527.761;4000320
4;D-Heap-Max;4;ordenado;518.6;4000320
5;D-Heap-Max;4;ordenado;531.93;4000320
1;D-Heap-Max;8;ordenado;569.218;4000224
2;D-Heap-Max;8;ordenado;578.095;4000224
3;D-Heap-Max;8;ordenado;584.207;4000224
4;D-Heap-Max;8;ordenado;568.881;4000224
5;D-Heap-Max;8;ordenado;570.078;4000224
1;D-Heap-Min;2;ordenado;673.456;4000640
2;D-Heap-Min;2;ordenado;679.848;4000640
3;D-Heap-Min;2;ordenado;669.169;4000640
4;D-Heap-Min;2;ordenado;670.318;4000640
5;D-Heap-Min;2;ordenado;682.135;4000640
1;D-Heap-Min;3;ordenado;537.001;4000416
2;D-Heap-Min;3;ordenado;538.531;4000416
3;D-Heap-Min;3;ordenado;550.72;4000416
4;D-Heap-Min;3;ordenado;539.594;4000416
5;D-Heap-Min;3;ordenado;624.857;4000416
1;D-Heap-Min;4;ordenado;532.988;4000320
2;D-Heap-Min;4;ordenado;528.859;4000320
3;D-Heap-Min;4;ordenado;504.502;4000320
4;D-Heap-Min;4;ordenado;506.609;4000320
5;D-Heap-Min;4;ordenado;506.004;4000320
1;D-Heap-Min;8;ordenado;564.551;4000224
2;D-Heap-Min;8;ordenado;548.681;4000224
3;D-Heap-Min;8;ordenado;546.896;4000224
4;D-Heap-Min;8;ordenado;550.421;4000224
5;D-Heap-Min;8;ordenado;562.708;4000224
1;SmoothSort;-;ordenado;46.6152;4000000
2;SmoothSort;-;ordenado;46.106;4000000
3;SmoothSort;-;ordenado;46.2876;4000000
4;SmoothSort;-;ordenado;46.2029;4000000
5;SmoothSort;-;ordenado;46.4708;4000000
1;D-Heap-Max;2;invertido;659.922;4000640
2;D-Heap-Max;2;invertido;658.801;4000640
3;D-Heap-Max;2;invertido;673.137;4000640
4;D-Heap-Max;2;invertido;657.955;4000640
5;D-Heap-Max;2;invertido;662.431;4000640
1;D-Heap-Max;3;invertido;531.318;4000416
2;D-Heap-Max;3;invertido;523.758;4000416
3;D-Heap-Max;3;invertido;522.572;4000416
4;D-Heap-Max;3;invertido;523.854;4000416
5;D-Heap-Max;3;invertido;537.19;4000416
1;D-Heap-Max;4;invertido;493.821;4000320
2;D-Heap-Max;4;invertido;485.974;4000320
3;D-Heap-Max;4;invertido;489.01;4000320
4;D-Heap-Max;4;invertido;507.267;4000320
5;D-Heap-Max;4;invertido;492.155;4000320
1;D-Heap-Max;8;invertido;532.929;4000224
2;D-Heap-Max;8;invertido;533.146;4000224
3;D-Heap-Max;8;invertido;550.725;4000224
4;D-Heap-Max;8;invertido;535.445;4000224
5;D-Heap-Max;8;invertido;533.955;4000224
1;D-Heap-Min;2;invertido;707.785;4000640
2;D-Heap-Min;2;invertido;693.69;4000640
3;D-Heap-Min;2;invertido;689.972;4000640
4;D-Heap-Min;2;invertido;707.302;4000640
5;D-Heap-Min;2;invertido;697.305;4000640
1;D-Heap-Min;3;invertido;558.798;4000416
2;D-Heap-Min;3;invertido;559.273;4000416
3;D-Heap-Min;3;invertido;570.578;4000416
4;D-Heap-Min;3;invertido;555.828;4000416
5;D-Heap-Min;3;invertido;558.726;4000416
1;D-Heap-Min;4;invertido;543.523;4000320
2;D-Heap-Min;4;invertido;529.043;4000320
3;D-Heap-Min;4;invertido;524.524;4000320
4;D-Heap-Min;4;invertido;523.653;4000320
5;D-Heap-Min;4;invertido;535.934;4000320
1;D-Heap-Min;8;invertido;576.241;4000224
2;D-Heap-Min;8;invertido;577.131;4000224
3;D-Heap-Min;8;invertido;573.046;4000224
4;D-Heap-Min;8;invertido;591.505;4000224
5;D-Heap-Min;8;invertido;575.506;4000224
1;SmoothSort;-;invertido;647.131;4000000
2;SmoothSort;-;invertido;665.286;4000000
3;SmoothSort;-;invertido;645.716;4000000
4;SmoothSort;-;invertido;646.797;4000000
5;SmoothSort;-;invertido;663.238;4000000
1;D-Heap-Max;2;aleatorio;815.883;4000640
2;D-Heap-Max;2;aleatorio;822.292;4000640
3;D-Heap-Max;2;aleatorio;855.196;4000640
4;D-Heap-Max;2;aleatorio;818.784;4000640
5;D-Heap-Max;2;aleatorio;840.315;4000640
1;D-Heap-Max;3;aleatorio;660.675;4000416
2;D-Heap-Max;3;aleatorio;685.1;4000416
3;D-Heap-Max;3;aleatorio;690.85;4000416
4;D-Heap-Max;3;aleatorio;663.836;4000416
5;D-Heap-Max;3;aleatorio;685.4;4000416
1;D-Heap-Max;4;aleatorio;656.105;4000320
2;D-Heap-Max;4;aleatorio;630.668;4000320
3;D-Heap-Max;4;aleatorio;636.414;4000320
4;D-Heap-Max;4;aleatorio;635.422;4000320
5;D-Heap-Max;4;aleatorio;655.333;4000320
1;D-Heap-Max;8;aleatorio;712.255;4000224
2;D-Heap-Max;8;aleatorio;708.401;4000224
3;D-Heap-Max;8;aleatorio;728.014;4000224
4;D-Heap-Max;8;aleatorio;706.151;4000224
5;D-Heap-Max;8;aleatorio;849.839;4000224
1;D-Heap-Min;2;aleatorio;1275.15;4000640
2;D-Heap-Min;2;aleatorio;890.501;4000640
3;D-Heap-Min;2;aleatorio;831.288;4000640
