# statistics: media dos 5 resultados do output agrupados por algoritmo e tipo
Algoritmo;D;Tipo;TempoMedio_ms;MemoriaMedia_B
D-Heap-Max;2;ordenado;780.343;4000640
D-Heap-Max;3;ordenado;611.985;4000416
D-Heap-Max;4;ordenado;559.819;4000320
D-Heap-Max;8;ordenado;574.096;4000224
D-Heap-Min;2;ordenado;674.985;4000640
D-Heap-Min;3;ordenado;558.14;4000416
D-Heap-Min;4;ordenado;515.793;4000320
D-Heap-Min;8;ordenado;554.652;4000224
SmoothSort;-;ordenado;46.3365;4000000
D-Heap-Max;2;invertido;662.449;4000640
D-Heap-Max;3;invertido;527.739;4000416
D-Heap-Max;4;invertido;493.645;4000320
D-Heap-Max;8;invertido;537.24;4000224
D-Heap-Min;2;invertido;699.211;4000640
D-Heap-Min;3;invertido;560.64;4000416
D-Heap-Min;4;invertido;531.335;4000320
D-Heap-Min;8;invertido;578.686;4000224
SmoothSort;-;invertido;653.634;4000000
D-Heap-Max;2;aleatorio;830.494;4000640
D-Heap-Max;3;aleatorio;677.172;4000416
D-Heap-Max;4;aleatorio;642.788;4000320
D-Heap-Max;8;aleatorio;740.932;4000224
D-Heap-Min;2;aleatorio;946.851;4000640
D-Heap-Min;3;aleatorio;698.134;4000416
D-Heap-Min;4;aleatorio;663.339;4000320
D-Heap-Min;8;aleatorio;710.48;4000224
SmoothSort;-;aleatorio;992.288;4000000
