Algoritmo;Aridade_D;Tamanho;Ordem;TempoMedio_ms;MemoriaMedia_KB;MemoriaFixa_KB;TrocasMedias
DHeapMax;2;100;aleatorio;0;4;0;596
DHeapMax;3;100;aleatorio;0;0;0;422
DHeapMax;4;100;aleatorio;0;0;0;366
DHeapMax;8;100;aleatorio;0;0;0;284
DHeapMin;2;100;aleatorio;0;2;0;576
DHeapMin;3;100;aleatorio;0;0;0;412
DHeapMin;4;100;aleatorio;0;0;0;360
DHeapMin;8;100;aleatorio;0;0;0;290
SmoothSort;1;100;aleatorio;0;2;0;660
DHeapMax;2;100;ordenado;0;0;0;640
DHeapMax;3;100;ordenado;0;0;0;464
DHeapMax;4;100;ordenado;0;0;0;404
DHeapMax;8;100;ordenado;0;0;0;320
DHeapMin;2;100;ordenado;0;0;0;516
DHeapMin;3;100;ordenado;0;0;0;382
DHeapMin;4;100;ordenado;0;0;0;332
DHeapMin;8;100;ordenado;0;0;0;248
SmoothSort;1;100;ordenado;0;0;0;0
DHeapMax;2;100;invertido;0;0;0;516
DHeapMax;3;100;invertido;0;0;0;382
DHeapMax;4;100;invertido;0;0;0;332
DHeapMax;8;100;invertido;0;0;0;248
DHeapMin;2;100;invertido;0;0;0;640
DHeapMin;3;100;invertido;0;0;0;464
DHeapMin;4;100;invertido;0;0;0;404
DHeapMin;8;100;invertido;0;0;0;320
SmoothSort;1;100;invertido;0;0;0;729
DHeapMax;2;1000;aleatorio;0;0;3;9099
DHeapMax;3;1000;aleatorio;0;0;3;6268
DHeapMax;4;1000;aleatorio;0;0;3;5257
DHeapMax;8;1000;aleatorio;0;0;3;3955
DHeapMin;2;1000;aleatorio;0;0;3;9112
DHeapMin;3;1000;aleatorio;0;0;3;6279
DHeapMin;4;1000;aleatorio;0;0;3;5275
DHeapMin;8;1000;aleatorio;0;0;3;3966
SmoothSort;1;1000;aleatorio;0;0;3;12043
DHeapMax;2;1000;ordenado;0;2;3;9708
DHeapMax;3;1000;ordenado;0;0;3;6770
DHeapMax;4;1000;ordenado;0;0;3;5728
DHeapMax;8;1000;ordenado;0;0;3;4396
DHeapMin;2;1000;ordenado;0;0;3;8316
DHeapMin;3;1000;ordenado;0;0;3;5956
DHeapMin;4;1000;ordenado;0;0;3;5040
DHeapMin;8;1000;ordenado;0;0;3;3570
SmoothSort;1;1000;ordenado;0;0;3;0
DHeapMax;2;1000;invertido;0;0;3;8316
DHeapMax;3;1000;invertido;0;0;3;5956
DHeapMax;4;1000;invertido;0;0;3;5040
DHeapMax;8;1000;invertido;0;0;3;3570
DHeapMin;2;1000;invertido;0;0;3;9708
DHeapMin;3;1000;invertido;0;0;3;6770
DHeapMin;4;1000;invertido;0;0;3;5728
DHeapMin;8;1000;invertido;0;0;3;4396
SmoothSort;1;1000;invertido;0;0;3;11154
DHeapMax;2;10000;aleatorio;1;0;39;124165
DHeapMax;3;10000;aleatorio;1;0;39;83621
DHeapMax;4;10000;aleatorio;1;0;39;69221
DHeapMax;8;10000;aleatorio;1;0;39;50588
DHeapMin;2;10000;aleatorio;1;0;39;124254
DHeapMin;3;10000;aleatorio;1;0;39;83512
DHeapMin;4;10000;aleatorio;1;0;39;69356
DHeapMin;8;10000;aleatorio;1;0;39;50694
SmoothSort;1;10000;aleatorio;1;0;39;167207
DHeapMax;2;10000;ordenado;1;0;39;131956
DHeapMax;3;10000;ordenado;0;0;39;88690
DHeapMax;4;10000;ordenado;0;0;39;75132
DHeapMax;8;10000;ordenado;0;0;39;55380
DHeapMin;2;10000;ordenado;1;0;39;116696
DHeapMin;3;10000;ordenado;0;0;39;80368
DHeapMin;4;10000;ordenado;0;0;39;65820
DHeapMin;8;10000;ordenado;0;0;39;46956
SmoothSort;1;10000;ordenado;0;0;39;0
DHeapMax;2;10000;invertido;1;0;39;116696
DHeapMax;3;10000;invertido;0;0;39;80368
DHeapMax;4;10000;invertido;0;0;39;65820
DHeapMax;8;10000;invertido;0;0;39;46956
DHeapMin;2;10000;invertido;1;0;39;131956
DHeapMin;3;10000;invertido;1;0;39;88690
DHeapMin;4;10000;invertido;1;0;39;75132
